number,title,description,emails
1,West Capital Group,Инвестиционная компания,"['last@westendcapitalgroup.com', 'Client_Operations@capgroup.com', 'CapitalGroup_UKSales@capitalgroup.com', 'support@example.com', 'larry@westonemortgage.com']"
2,Иммобилиаре Зиновьева,"Рекламное агентство, Агентство недвижимости","['dandybyh@gmail.com', 'iraida.condrea@gmail.com']"
3,Премьер Аэро,"Аренда и заказ самолетов, вертолетов","['charter@rusline.aero', 'to@rusline.aero', 'sales@premieravia.ru', 'sales@premier-aero.com', 'call@azurair.ru', 'office@premier-aero.ru']"
4,Салон Цветов,Доставка цветов и букетов,"['zakaz@cvetov.ru', 'emotions@emotions.ru', 'shop@salonflowers.ru', 'admin@buket-dzr.ru', 'partnership-berezhnoflowers@yandex.ru', '777flowers@bk.ru', 'info@orange-flower.ru']"
5,Юридическая компания Кодекс,Юридические услуги,"['info@kodeks25.ru', 'codex-law@mail.ru', 'kodeks08@narod.ru', 'info@codexspb.ru', 'kodeks_5@mail.ru', 'info@codexmsk.ru']"
6,Artofad,"Рекламное агентство, Рекламная продукция",['TheArtOfAd@gmail.com']
7,Business & Asset Exchange,Продажа готового бизнеса и франшиз,['info@ax1031.com']
8,City Lawyers Group,Управление недвижимостью,"['lrs@nycbar.org', 'juniorlawyers@lawsociety.org.uk', 'virginia.ralfe@city-lawyers.com', 'communitysupport@calcities.org']"
9,Diamond Group,Бизнес-консалтинг,"['jane@diamond-group.co', 'last@diamondfoam.com', 'manager.diamondgroup@gmail.com', 'JohnSmith@diamond-group.com']"
10,Elshan Transportation,Автомобильные грузоперевозки,"['elshan.shukurlu@gmail.com', 'elshan@elshan.ru', 'xx@phihelico.com']"
11,Estet Service,Строительные и отделочные работы,"['EstateServicesAdmin@exeter.ac.uk', 'esdk-lite@mail.ru', 'campusservices@exeter.ac', 'info@estet.ru', 'estetik@inbox.ru', 'info@okna-lux24.ru']"
12,Golden Hills - КапиталЪ,Инвестиционная компания,['tsureshraju@gmail.com']
13,InCarNet,Интернет-провайдер,"['info@incarnet.ru', 'jane@incarnet.com', 'info@incarnet.com']"
14,Intourist,"Турфирма, Бронирование гостиниц","['turfirma@spb.ntk-intourist.ru.Contact', 'franch@intourist.ru', 'bron@intourist-kolomenskoe.ru', 'report.ntk@intourist.ru', 'Ekaterina.Shiryaeva@intourist.ru', 'sales@ntk-intourist.ru', 'sales@chel.ntk-intourist.ru', 'guest@intourist-kolomenskoe.ru', 'booking@yaltaintourist.ru', 'welcome@intourist.ru', 'Vitaliy.Yushkin@intourist.ru']"
15,Key 2 Hedge,Инвестиционная компания,['last_initial@turnkeyhedgefunds.com']
16,Little Black Shoe,"Магазин одежды, Магазин обуви","['hello@ally.nyc', 'help@schuh.co.uk']"
17,Mcity,Элитная недвижимость,"['Customerservice.MC@stichd.com', 'sales@mcity.ru', 'mcity@kx.com.au', 'shop@mancity.com', 'm1customercare@urbancapital.ca', 'jbirt@m-city.com.au', 'info@mcity.moscow']"
18,Office Tower,Агентство недвижимости,"['theplaza.enquiry@plazaindonesia.com', 'adeline.cheong@capitaland.com', 'workstyles@gaysorngroup.com.THE', 'alex.kazgbc@gmail.Al', 'JGraae@oxfordproperties.com', 'jirayus.b@gmail.com']"
19,Offshore Services Group,Юридические услуги,"['last@haluloffshore.com', 'hello@offshore.services', 'vika@korabel.ru']"
20,Plus 1 Hotel,Гостиница,['gazpromcup@gmail.com']
21,Public TV,Телекоммуникационная компания,"['email@dptv.org', 'mail@public.tv.Public', 'info@writemenmedia.com', 'email@screentime.org', 'Digital@writemenmedia.com']"
22,Resthouse,"Жилье посуточно, Агентство недвижимости","['info@resthouse.com.au.Resthouse', 'kheisresthouse@gmail.com', 'info@resthouse.com.au', 'resthouse@bk.ru', 'pwdbldgsdn@gmail.com', 'info@resthouse-tyr.com.lb']"
23,Road to Results,"Учебный центр, Тренинги",[]
24,Seei,"Интернет-магазин, Магазин цветов, Студия дизайна",[]
25,Sibir Group,"Бизнес-консалтинг, Оценочная компания","['info@sibirgroup.ch', 'info@sibgr.ru', 'sibirpromo@mail.ru', 'jane.doe@asg.ru', 'megapolis-music@mail.ru']"
26,Solonseo,"Маркетинговые услуги, Интернет-маркетинг","['corp@zoon.ru', 'info@solonseo.ru']"
27,"The Plaksin Law Firm, P.C.",Помощь в оформлении виз и загранпаспортов,"['ap@plaksinlaw.com.Member', 'JS@plaksinlaw.com']"
28,Wens Global Services,Логистическая компания,"['ServicesSanjay.Puria@wns.comTel', 'info@wens.global', 'nakhodka@wens.global']"
29,Адвокатское бюро НСН Альянс,"Юридические услуги, Адвокаты","['6488801@mail.ru', 'advokat@prigovoru.net']"
30,Адвокатское бюро Прайм Эдвайс,Адвокаты,"['pr@hlbprime.com', 'law@hlbprime.com', 'oficce@hlbprime.com', 'pravo9706680@gmail.com']"
31,АйТим,Продажа и аренда коммерческой недвижимости,"['hosting@iteam.net.ru', 'info@iteam.ru', 'support@iteam.net.ru', 'msk@iteam-pro.ru', 'info@iteam.net.ru']"
32,Анаден Тур,"Турфирма, Деловой туризм","['mouanwya@gmail.com', 'hortbot@gmail.com']"
33,Бад,Ассоциации и промышленные союзы,[]
34,Бизнес Импрувмент Солюшенс,Бизнес-консалтинг,['mail@bp-solutions.ru']
35,Бюро переводов Золотая лань,Бюро переводов,"['LEMA80@LIST.RU', 'zakaz@favorit-lingua.ru']"
36,ВегаСтройТорг,Промышленное строительство,[]
37,ГарантСпецТехника,"Земляные работы, Снос зданий, аренда техники","['info@g-s-t.ru', 'globalmedia200@yandex.ru', '.rabota@gmail.com', 'info@gsst-spb.ru', 'Ros-garant@yandex.ru']"
38,Группа Матрица Интернейшнл,Колл-центр,"['notarius6463124@mail.ru', 'a.leontev@mtrx.hk', 'NOTARIUS6463124@MAIL.RU']"
39,Диагностические системы,"Медицинское оборудование, медтехника","['andmoses@gmail.com', 'mdnt@mdnt.ru', 'ooo-dias@yandex.ru', 'info@spb-npods.ru', 'info@npods.ru', 'rse@npods.ru', 'selling@npods.ru', 'mezhlumyanarmen@gmail.com', 'ds-stolica@bk.ru']"
40,Дизайн студия интерьеров Инстатус,Строительные и отделочные работы,"['info@decotrend.ru', 'taranova_la@in-status.ru', 'info@moscow-city.online']"
41,Е3 investment,Агентство недвижимости,"['arenda@garant-invest.ru', 'info@e3modelling.com', 'info@investkuzbass.ru', 'info@e3gr.ru', 'zameconom@kemerovo.ru']"
42,Знич,Детские товары оптом,['sales@formygirl.ru']
43,ИК Финансовый союз,Инвестиционная компания,"['volgacapital.malinen@sross.ru', 'corp.clients@cifra-broker.ru', 'ik@ricom.ru']"
44,Интернет агентство Jc,Интернет-маркетинг,['vita@japancar.ru']
45,Квэста Консалтинг,"Юридические услуги, Адвокаты",['vardanorbeli@gmail.com']
46,Компания Абакан Эир,Лизинговая компания,"['office@abakanair.ru', 'sop@abakanair.ru']"
47,Компания Экзитерра,"Интернет-маркетинг, Студия веб-дизайна","['info@exiterra.ru', 'info@mail.i-media.ru']"
48,Консалтинговая компания Gantbpm,"Аутсорсинг, Бизнес-консалтинг","['corp@zoon.ru', 'press@asconco.ru', 'info@gantbpm.ru']"
49,Курорты Северного Кавказа,Строительная компания,"['texnosales@rambler.ru', '775-22-03inf@aotrf.ru']"
50,Курсы иностранных языков English Office,Курсы иностранных языков,['englishprokids@gmail.com']
51,ЛайтХаус,Строительство дачных домов и коттеджей,"['info@cfa.digital', '1@lhestate.ru', 'lighthouse-lermontovo@mail.ru']"
52,Лингво Сервис,"Нотариусы, Бюро переводов","['novoslobodskaya@lingvoservice.ru', 'sviblovo@lingvoservice.ru', 'polezhaevskaya@lingvoservice.ru', 'prmira@lingvoservice.ru', 'lublino@lingvoservice.ru', 'pk@lingvoservice.ru', 'okt@lingvoservice.ru', 'novie-cheremushki@lingvoservice.ru', 'ligovsky@lingvoservice.ru']"
53,Манули Стретч,Тара и упаковочные материалы,"['customercare@manupackaging.com', 'jaroslaw.kuder@manuliekobal.pl', 'ABC@Packing.NameManuli', 'ABC@Packing.NameMANUPACKAGING', 'i@gmail.com', 'administration@manupackaging.com']"
54,Модельное агентство Get Models,"Праздничное агентство, Рекламное агентство","['info@evamodel.ru', 'director@queensmodels.ru', 'info@getmodels.ru']"
55,МОЦ Экскурсии в Москва-Сити,Продажа и аренда коммерческой недвижимости,"['moscomtour@mos.ru', 'msc-sirius@mos.ru', 'evprobox@gmail.com']"
56,МЦПБ Точка Опоры,Юридические услуги,[]
57,Квэста Консалтинг,"Юридические услуги, Адвокаты",['vardanorbeli@gmail.com']
58,Найдем адвоката,"Юридические услуги, Адвокаты","['info@advokat-kryuk.ru', 'info@ludiprava.ru', 'avocadohelp2020@gmail.com', '2211107@mmka.info']"
59,Нафта консалтинг,"Нефтегазовая компания, Бизнес-консалтинг","['info@vneshaudit.ru', 'upanfilova@nafta-c.ru', 'PR@sbs-consulting.ru', 'info@sbs-consulting.ru']"
60,Нотариус Ралько В.В.,Нотариусы,"['notarius@ralko.ru', 'inbox@notarius-ralko.ru']"
61,Easy10,Студия веб-дизайна,[]
62,Gt Project,Электромонтажные работы,"['oms-advising@cc.gatech.edu', 'info@projecteducation.net']"
63,Jti,Табачная продукция оптом,"['onebehavior@jti.com', 'info@aebrus.ru', 'USA.CorporateCommunicationsUSA@jti.com', 'gazeta@dp.ru', 'jane.doe@jti.com']"
64,City-Web,"Программное обеспечение, Студия веб-дизайна",[]
65,MC Traders,"Мебель на заказ, Окна, Двери","['h7149-fb5@accor.com', 'barcelona@mctrading.es.MC', 'H7149-AM@accor.com', 'aakash.malhotra@infomerics.com', 'lauren@plb2.co.za']"
66,Paritet China Express,Автомобильные грузоперевозки,[]
67,ГМК Норильский никель,Металлургическое предприятие,"['Podbor_Sputnik@nornik.ru', 'nord@nornik.ru', 'ir@nornik.ru', 'isyanovams@rosmintrud.ru', 'borzenkovayua@nk.nornik', 'mintrud@rosmintrud.ru', 'pr@nornik.ru', 'nmi@nornickel.net', 'PetrasEO@nornik.ru', 'DudkinSV@nornik.ru']"
68,Дж.Т.И. Россия,Табачная продукция оптом,"['eugene.gamov@jti.com', 'info@aebrus.ru', 'hr_application@jti.com', 'kristina.karueva@jti.com', 'irina.timoshenko@jti.com', 'anna.mikhaylova@jti.com', 'Farid.Seidov@jti.com', 'elena.efimova@jti.com', 'russia.press.office@jti.com', 'Elena.Lidmets@jti.com']"
69,ЕвроПрофиСтрой,Строительная компания,[]
70,НорметИмпэкс,"Цветные металлы, Металлопрокат","['nasybullovrf@nornik.ru', 'dc1@e-disclosure.ru']"
71,Русмед,Товары для инвалидов,"['info@rmt52.ru', 'rusmed38@mail.ru', 'info@napopravku.ru', 'help@medrocket.ru', 'rusmed.info@yandex.ru', '1@dentalroom.me', 'rusmed2004@mail.ru']"
72,AirCinema,"Аэрофотосъемка, Видеосъемка","['info@navarinoagora.gr', 'orders@thelunacinema.com', 'bond@uponangels.com', 'info@aircin.ru', 'administracion@fiaelyelmo.com']"
73,AMG Russia,"Рекламное агентство, PR-агентство","['sales@blitztuning.ru', 'grundfos.moscow@grundfos.com']"
74,Atdigital,"Студия веб-дизайна, Интернет-маркетинг","['jane@atdigital.lk', 'careers@atdigital.io', 'hello@atdigital.io', 'info@at-digital.ru']"
75,Avtozvonok.com,Колл-центр,[]
76,Bcgroup,"Колл-центр, Маркетинговые услуги","['last_initial@bcgroup-inc.com', 'mail@bcgroup-research.ru', 'sales@bcgroupintl.com', 'prodaja@bcgroup.rs.How', 'enquiries@bcgroup.co.nz', 'mail@bcgroup.su', 'info@bcgroup-inc.com']"
77,Call-center Trubka24,Колл-центр,[]
78,Car Service Moscow,"Такси, Заказ автомобилей","['reservation@mymoscowtaxi.com', 'stoa@sac.ru', 'info@bslimousine.com', '1027870@mail.ruChauffeur']"
79,Cargo Company LLC,Автомобильные грузоперевозки,"['allroundcargo1@gmail.com', 'last@cargofe.com', 'simakcargocompany@gmail.com', 'Allroundcargo1@gmail.com', 'jane@searouteshipping.ae', 'info@simakcargo.net', 'JSmith@cargos.com']"
80,Ceo-english.ru,Курсы иностранных языков,['gubanov@ceo-english.ru']
81,CinemaNight,Антикафе,"['dreamcinemanight@gmail.com', 'pro@team.culture.ru', 'info@cinemaxbantry.ie']"
82,CitiStreet,Продажа и аренда коммерческой недвижимости,['carolyn.bandel@ipe.com']
83,ClickMedia,Интернет-маркетинг,"['first@clickmedia.com.au', 'info@clickmedia.by', 'pavel.l@clickmedia.by']"
84,Coffeeport,Кофейня,"['help@coffeeport.ru', 'contactshelp@coffeeport.ru']"
85,Commercial real estate Moscow City,Продажа и аренда коммерческой недвижимости,"['moscow@reapple.ru', 'request@moscowestates.com', 'commer...contacto@mail.com']"
86,Company8448,"Юридические услуги, Оценочная компания","['don.grimshaw@witt.co.uk', 'R.McKay@deerparklumber.com']"
87,Digital agency MixPlus,"Интернет-маркетинг, Студия веб-дизайна",['hr@mixdigital.vn']
88,Diplomred.ru,Услуги репетиторов,['online@ruspravochnik.com']
89,Drink up,Алкогольная продукция оптом,"['sports@jewishlinkbc.com', 'drinkup-eco@yandex.ru', 'advice@ker.com']"
90,DroneMag,Видеосъемка,"['info@gemsystems.ca', 'adam.kroll@airgeox.com', 'contact@dronemag.ro', 'info@gemsys.ca']"
91,E-Softgroup,"Аутсорсинг, Программное обеспечение","['office@softgroup.eu', 'mossambo@mail.ru.Contact', 'info@softgroup.tj', 'softgroup@yandex.ru', 'info@soft-group.com']"
92,Education House,"Курсы иностранных языков, Обучение за рубежом","['info@EducationHouse.com.my', 'carolyn.hughes@mail.house.gov', 'kelburnflats@vuw.ac.nz', 'information@sussex.ac.uk']"
93,Elmi Production,Продюсерский центр,"['detstom1@mail.ru', 'info@elmi-tech.com', 'diamiglobalexport@gmail.com.ELMI', 'e@gmail.com', 'info@elminorthamerica.com']"
94,FriendsEvents.ru,Праздничное агентство,"['buchung@wirmobil-berlin.de', 'hi@friendsevents.ru', 'delivery@bushe.ru']"
95,Fruit Of Design,Студия дизайна,"['orignalfruitbydesign@gmail.com', 'info@fruitfamily.eu', 'studio@freshfruitdesign.com']"
96,Hermes capital management,Инвестиционная компания,"['marketing@hermes-investment.com', 'John.Smith@hermes-investment.com', 'last@hermes-investment.com', 'jane.doe@hermes-investment.com', 'office@hermesmanagement.com.Contact', 'info@hermesmanagement.com']"
97,Iconface,Обучение мастеров для салонов красоты,"['corp@zoon.ru', 'info@iconface.ru']"
98,IFK Renekan,"Инвестиционная компания, Микрофинансирование",[]
99,IT For You,"Системная интеграция, IT-компания, Программное обеспечение",['sale@itfyou.com']
100,Jethunter,Авиакомпания,"['adaritshev@gmail.com', 'info@jethunter.net']"
101,Jovyatlas,Аккумуляторы и зарядные устройства,"['info@rkmte.ru', 'order@uni-jet.com', 'service@jovyatlas.de', 'jane.doe@euroatlas.de', 'info@jovyatlas.de', 'nicole.ley@jovyatlas.de', 'info@delter.ru']"
102,Lee Group Real Estate,Агентство недвижимости,"['susie.lee@compass.com', 'carol.lee@compass.com', 'leerealtyinfo@gmail.com', 'lee@leeandpete.com']"
103,LuckyOne Personal,Кадровое агентство,"['info@luckyone.com.pk.Website', 'info@onederland.com.pk']"
104,LuxBeats,"Звуковое и световое оборудование, Интернет-магазин","['superstaarbeats@gmail.com', 'lux778era.win778@gmail.com', 'soporte@luxbeat.mx']"
105,Maison Des Fleurs,"Доставка цветов и букетов, Магазин цветов","['mail@maisondesfleurslb.com', 'info@maisondesfleurs.boutique.Find', 'info@maisondesfleurs.boutique']"
106,Martlet,"Благотворительный фонд, Инвестиционная компания","['info@martletpartnership.com', 'info@martlet.group.AboutThe', 'business@martlet.ca', 'info@martlet.by', 'edit@martlet.ca']"
107,Mice Group,Организация конференций и семинаров,"['info@micegroup.ru', 'info@micegroups.com', 'jane@micegroups.com']"
108,Mobile bar CH.M,"Кейтеринг, Праздничное агентство","['mobilebarchm@yandex.ru', 'makssis@list.ru', 'ivan@alloy.ru']"
109,MoscowCityReally,Агентство недвижимости,"['pr@mvd.gov.ru', 'Alexander.Ezhov@moex.com.The', 'e.a.abrosimova.mgimo@mail.ruAddress']"
110,Movetex LLC,"Транспортеры и конвейеры, Подъемное оборудование",['anna@movetex.es']
111,Nikson Studio,Видеосъемка,"['info@niksonco.com.Contact', 'nixonstudioproductions@gmail.com', 'info@nicksonliving.com', 'studio@marknixon.com']"
112,Office Production,Продажа и аренда коммерческой недвижимости,['production@cdm.depaul.How']
113,PlusMinus Consulting,"Бухгалтерские услуги, Юридические услуги",['info@plusminusconsulting.com']
114,Portal Group,Строительная компания,"['gazeta@dp.ru', 'universalsystem2014@gmail.com', 'jane.doe@theportalgrp.com']"
115,Prime Star,Быстрое питание,"['prime-star.rupersonal@prime-star.ru', 'a.sayapin@prime-star.ru', 'dostavka@prime-star.ru', '911@prime-star.ru', 'sgalahova@prime-star.ru', 'office@prime-star.ru', 'sayapin@prime-star.ru']"
116,PRK Home,Агентство недвижимости,"['headoffice@blackswan.co.uk', 'info@iphas.co.uk', 'bjdoick@btinternet.com', 'info@cedarcarehomes.com', 'office@parkhousecarehomemk.co.uk', 'info@grovelandpark.co.uk']"
117,Prozakaz,"Бизнес-консалтинг, Адвокаты, Юридические услуги","['info@prozakaz.com', 'zakaz@boxsand.ru', 'contactprozakaz@mail.ru', 'prozakaz@mail.ru']"
118,Raven Estate,Агентство недвижимости,"['info@ravenestates.co.uk', 'theraventeam@c21affiliated.com']"
119,RealItaly,Агентство недвижимости,"['info@realitalia.co', 'rypec@pec.it', 'info.realitaly@gmail.com', 'info@realitaly.eu', 'info@realitalytravel.com', 'naouel@spotontoscana.com']"
120,RichMind Group,"Бизнес-школа, Тренинги","['Supporthome@richmondgrouphome.com.Richmond', 'info@richgroupusa.com', 'info@richmondgroupinvest.com', 'last_initial@richgroupusa.com', 'info@richgroupusa.com.The', 'JSmith@therichmondgroup.com']"
121,Blaсkwood,Агентство недвижимости,"['last@blackwoodcapital.com', 'paul.gray@theblackwoodgc.com', 'contactholmember@parliament.uk', 'blackwoodmsk@mail.ru.EmailBlackwood', 'cst@blackwoodgroup.org.uk']"
122,Elos Club,Сеть центров элос-процедур,"['apparat.med@yandex.ru', 'radastudiomoscow@gmail.com', 'krasota@mkcgalateya.ru', 'elosclub@gmail.com.Elos', 'mail@elosclub.ru', 'straus.salon@gmail.com', 'elosclub@gmail.com', 'in@beautime.ru']"
123,Munich Re Group,Мюнхенское Перестраховочное Общество,"['shareholder@munichre.com', 'quotesie@munichre.com', 'uklife@munichre.com', 'mranise@munichre.com', 'JSmith@munichre.com', 'jdoe@munichre.com', 'doe@munichre.com']"
124,Sollers,Торгово-производственная компания,"['resume-uaz@sollers-auto.com', 'ABulatov@fcirkutsk.ru', 'razvitie@sollers-auto.com', 'info@sollers-auto.com', 'NTeterin@mercedes-irk.ru']"
125,World Class,Сеть центров фитнеса,"['info@worldclass-kgd.ru', 'hr@wclass.ru', 'jane@theworldclass.qa']"
126,Битца-Инвест,Финансовая компания,"['investment@banki.ru', 'info@bitza.ru']"
127,КБ ЛОКО-Банк,Филиал в г. Москве,"['pr@lockobank.ru', 'info@lockobank.ru', 'EGorozhanina@lockobank.ru']"
128,Райффайзенбанк,Банк,"['PrivateBanking@raiffeisen.ru', 'Private_Line@raiffeisen.ru', 'info_company@raiffeisen.ru', 'info@raiffeisen.ru']"
129,Фабрикант.ру,Межотраслевая торговая система,"['pr@fabrikant.ru', 'auditors@etpz.ru', 'auditors@fabrikant.ru', 'info@fabrikant.ru', 'info@etpz.ru']"
130,B2 travel,Яхтенная школа,['sales@b2travelgroup.com']
131,BRF,Торговая компания,"['leticia.vaccaro@brf.com', 'jane.doe@brf-br.com', 'marketingandcommunications@brf.org.uk', 'YOURID@brf.com.FAQ', 'enquiries@brf.org.uk']"
132,Coffeeport,Экспресс-кофейня,"['help@coffeeport.ru', 'contactshelp@coffeeport.ru']"
133,EASTWARD Capital,Инвестиционная компания,['contacts@eastwardcp.com']
134,Lingvo-room,Бюро переводов,"['hr@newlinetechnologies.net', 'lingvo.studio@gmail.com']"
135,Lowell Finance,Агентство зарубежной недвижимости,"['last@lowell.co.uk', 'dpo@lowellgroup.co.uk', 'post@lowellgroup.co.uk', 'post@lowellgroup.co.uk.The', 'customerservice.fi@lowell.com']"
136,N trans,Транспортная компания,"['info@ntransgroup.ru', 'office@n-trans.kz', 'n.translab@gmail.com', 'contragentsbuh@n-trans.su', 'buh@n-trans.su', 'operations@ntranslogistics.com']"
137,Terra dell Uomo,Салон красоты и SPA,"['dellaterraedelluomo@gmail.com', 'proloco@terradelsole.org', 'salon@terradelluomo.ru', 'proloco.terradelsole@pec.terradelsole', 'prenotazioni@visitmnu.it']"
138,ВетПро,Сеть ветеринарных центров,"['ella.rankin@vetprorecruitment.co.uk', 'info@vetpro.co.uk', 'vetdok@list.ru', 'vetpro@bk.ru', 'info@vetprorecruitment.co.uk.Complaints']"
139,Восток,Инвестиционная компания,"['info.surgut@yritz.ru', 'vostok-clock@mail.ru', 'ramenskoye@vostok.ru', 'filials@vostok.ru', 'reception@grand-vostok.ru', 'td@vostok.ru', 'magazin@vostok.ru', 'ekhorev@vostok.spb.ru', 'logvinovaveraz@mail.ru', 'beznal@vostok.ru']"
140,Генериум,Торгово-производственная компания,"['Lykov@generium.ru', 'info@generium.ru', 'pr@generium.ru', 'Lykov@ibcgenerium.ru', 'Generium@Generium.ru', 'generium@generium.ru']"
141,Дженерал Моторс,Автомобильная компания,"['news@finmarket.ru', 'jane.doe@gm.com', 'ccrussia@gm.com']"
142,К+31,Медицинский центр,"['clinic@k31.ru', 'media@k31.ru']"
143,ОАО «ОХК «УРАЛХИМ»,Крупнейшая компания на рынке минеральных удобрений Европы. Компания создана в 2007-м году,"['info@uralchem.com', 'importall76@gmail.com', 'azot@uralchem.com', 'azot@azot.uralchem.com', 'info@uralchem.ru', 'domestic@uralchem.com']"
144,«Кортем-Горэлтех»,Завод взрывозащищенного оборудования. Год основания компании 1993 год,"['mail@cortem.ru', 'mail@exd.ru', 'snab@exd.ru', '5421085@mail.ru', '6986054@mail.ru']"
145,Группа компаний «СНС» (SNS) — FMCG,Российский дистрибутор товаров народного потребления. Компания основана 25 марта 1992 года,"['ekspress@sns.ru', 'info@mymoscowcity.com', 'gruppa-kompaniy-snsekspress@sns.ru', 'info@ekaterinburg.sns.ru']"
146,Aegis Group,"Мировой лидер медиакоммуникаций, рекламы и маркетинга. Структурные подразделения: Ad O’clock, AdWatch Isobar, Carat, iProspect, Isobar, Magic Touch, Posterscope, Vizeum.","['jane.doe@aegisindia.com', 'enquiries@aegislondon.co.uk', 'last@aegisglobal.com', 'mariocas@aegisdc.com', 'John@aegislogistics.com', 'enquiries@aegislondon.co.uk.Contact', 'sales@aegiselect.com']"
